EmpID,PerfScoreID,Termd,Salary,Absences,Position,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
10026,1,0,62506,1,Compensation and Benefits Manager,6,4,0,5
10084,2,1,104437,17,HR Manager,10,7,1,7
10196,3,0,64955,3,HR Specialist,0,0,0,0
10088,4,1,64991,15,Recruiter,8,7,3,0
10069,1,0,50825,2,Talent Acquisition Specialist,2,2,2,2
10002,2,1,57568,15,Talent Acquisition Specialist,7,7,3,6
10194,3,0,95660,19,HR Analyst,1,0,0,0
10062,4,1,59365,19,HR Specialist,1,0,0,0
10114,1,0,47837,4,Recruiter,9,7,1,8
10250,2,1,50178,16,Compensation and Benefits Manager,7,7,7,7
10252,3,0,54670,12,HR Analyst,5,4,0,3
10242,4,1,47211,15,Training and Development Manager,9,5,0,8
10012,1,0,92328,9,HR Manager,5,2,4,3
10265,2,1,58709,7,Talent Acquisition Specialist,2,2,1,2
10066,3,0,52505,1,Compensation and Benefits Manager,4,2,0,3
10061,4,1,57834,20,Training and Development Manager,10,9,8,8
10023,1,0,70131,16,HR Manager,6,2,0,5
10055,2,1,59026,12,Recruiter,1,0,0,0
10245,3,0,110000,8,Talent Acquisition Specialist,25,8,3,7
10277,4,1,53250,13,HR Analyst,3,2,1,2
10046,1,0,51044,13,Training and Development Manager,4,2,1,3
10226,2,1,64919,2,HR Specialist,5,3,0,3
10003,3,0,62910,19,Recruiter,12,6,2,11
10294,4,1,66441,3,Compensation and Benefits Manager,0,0,0,0
10267,1,0,57815,5,HR Coordinator,4,2,1,3
10199,2,1,103613,2,HR Manager,14,13,4,8
10081,3,0,106367,4,Recruiter,10,2,6,7
10175,4,1,74312,14,Compensation and Benefits Manager,9,7,4,2
10177,1,0,53492,6,Recruiter,22,6,5,17
10238,2,1,63000,14,Compensation and Benefits Manager,2,2,2,1
10184,3,0,65288,9,Talent Acquisition Specialist,1,1,0,0
10203,4,1,64375,17,Compensation and Benefits Manager,4,2,1,3
10188,1,0,74326,19,Training and Development Manager,10,0,1,8
10107,2,1,63763,3,Talent Acquisition Specialist,1,0,0,0
10181,3,0,62162,15,HR Coordinator,2,0,2,0
10150,4,1,77692,4,HR Analyst,5,3,1,4
10001,1,0,72640,14,Recruiter,3,2,0,2
10085,2,1,93396,3,HR Manager,2,2,2,2
10115,3,0,52846,14,Recruiter,1,1,0,0
10082,4,1,100031,7,Talent Acquisition Specialist,5,3,1,3
10040,1,0,71860,7,Compensation and Benefits Manager,1,0,0,0
10067,2,1,61656,11,HR Coordinator,1,0,0,0
10108,3,0,110929,8,Training and Development Manager,1,0,0,1
10210,4,1,54237,11,HR Specialist,9,8,1,7
10154,1,0,60380,4,Talent Acquisition Specialist,12,8,3,7
10200,2,1,66808,17,Compensation and Benefits Manager,22,15,15,8
10240,3,0,64786,3,Training and Development Manager,9,5,8,7
10168,4,1,64816,3,HR Specialist,1,0,0,0
10220,1,0,68678,2,HR Analyst,9,6,0,8
10275,2,1,64066,9,Compensation and Benefits Manager,1,0,0,1
10269,3,0,59369,6,Recruiter,1,0,0,0
10029,4,1,50373,5,Training and Development Manager,2,2,2,2
10261,1,0,63108,3,Talent Acquisition Specialist,4,3,1,3
10292,2,1,59144,16,Recruiter,4,0,2,3
10282,3,0,68051,3,HR Analyst,2,2,0,0
10019,4,1,170500,15,Recruiter,15,14,8,12
10094,1,0,63381,6,Compensation and Benefits Manager,9,8,1,8
10193,2,1,83552,2,HR Manager,2,2,2,2
10132,3,0,56149,15,HR Specialist,7,7,1,7
10083,4,1,92329,5,Talent Acquisition Specialist,7,5,0,7
10099,1,0,65729,8,HR Analyst,9,8,7,8
10212,2,1,85028,19,Compensation and Benefits Manager,10,3,9,9
10056,3,0,57583,1,HR Coordinator,27,3,13,8
10143,4,1,56294,6,Talent Acquisition Specialist,21,16,7,9
10311,1,0,56991,2,HR Coordinator,17,14,12,8
10070,2,1,55722,14,HR Specialist,5,0,0,2
10155,3,0,101199,8,Training and Development Manager,6,5,0,3
10306,4,1,61568,5,Recruiter,1,0,0,0
10100,1,0,58275,1,Talent Acquisition Specialist,3,2,1,2
10310,2,1,53189,9,Recruiter,1,0,0,0
10197,3,0,96820,15,HR Manager,4,3,1,3
10276,4,1,51259,1,HR Coordinator,5,4,0,4
10304,1,0,59231,17,HR Analyst,1,1,1,0
10284,2,1,61584,6,Training and Development Manager,10,4,0,9
10207,3,0,46335,15,HR Manager,1,0,0,0
10133,4,1,70621,16,HR Analyst,11,7,1,8
10028,1,0,138888,4,HR Specialist,15,13,2,8
10006,2,1,74241,14,Talent Acquisition Specialist,0,0,0,0
10105,3,0,75188,4,HR Coordinator,5,2,0,2
10211,4,1,62514,6,HR Analyst,4,2,0,2
10064,1,0,60070,7,HR Specialist,10,8,3,0
10247,2,1,48888,8,Talent Acquisition Specialist,6,4,0,4
10235,3,0,54285,3,HR Coordinator,1,0,1,0
10299,4,1,56847,5,HR Analyst,13,11,1,9
10280,1,0,60340,16,HR Specialist,5,2,1,3
10296,2,1,59124,19,Talent Acquisition Specialist,6,4,0,2
10290,3,0,99280,19,HR Coordinator,0,0,0,0
10263,4,1,71776,17,HR Analyst,4,2,0,3
10136,1,0,65902,7,HR Specialist,11,10,10,8
10189,2,1,57748,16,Talent Acquisition Specialist,9,8,4,7
10308,3,0,64057,15,HR Coordinator,22,3,11,11
10309,4,1,53366,2,HR Analyst,10,7,1,0
10049,1,0,58530,19,HR Specialist,11,8,2,7
10093,2,1,72609,20,Talent Acquisition Specialist,10,9,9,5
10163,3,0,55965,6,HR Coordinator,11,8,5,7
10305,4,1,70187,7,HR Analyst,4,3,0,3
10015,1,0,178000,15,HR Specialist,3,2,0,2
10080,2,1,99351,3,Talent Acquisition Specialist,5,4,0,4
10258,3,0,67251,7,HR Coordinator,37,10,1,8
10273,4,1,65707,1,HR Analyst,3,2,1,2
10111,1,0,52249,5,HR Specialist,3,2,0,2
10257,2,1,53171,12,Talent Acquisition Specialist,1,0,0,0
10159,3,0,51337,19,HR Coordinator,1,0,1,0
10122,4,1,51505,2,HR Analyst,16,13,2,10
10142,1,0,59370,7,HR Specialist,1,0,0,0
10283,2,1,54933,15,Talent Acquisition Specialist,3,2,2,2
10018,3,0,57815,3,HR Coordinator,8,3,0,7
10255,4,1,61555,20,HR Analyst,6,4,0,3
10246,1,0,114800,10,HR Specialist,2,2,2,1
10228,2,1,74679,20,Talent Acquisition Specialist,0,0,0,0
10243,3,0,53018,7,HR Coordinator,13,12,12,8
10031,4,1,59892,1,HR Analyst,9,7,0,6
10300,1,0,68898,10,HR Specialist,5,3,4,4
10101,2,1,61242,11,Talent Acquisition Specialist,5,3,1,2
10237,3,0,66825,20,HR Coordinator,1,0,0,0
10051,4,1,48285,2,HR Analyst,5,3,1,3
10218,1,0,66149,1,HR Specialist,11,10,5,8
10256,2,1,49256,3,Talent Acquisition Specialist,9,7,2,8
10098,3,0,62957,2,HR Coordinator,1,0,0,0
10059,4,1,63813,17,HR Analyst,25,12,4,12
10234,1,0,99020,8,HR Specialist,10,7,0,9
10109,2,1,71707,20,Talent Acquisition Specialist,7,7,0,7
10125,3,0,54828,13,HR Coordinator,5,4,4,3
10074,4,1,64246,20,HR Analyst,20,18,15,15
10097,1,0,52177,8,HR Specialist,7,7,7,7
10007,2,1,62065,5,Talent Acquisition Specialist,5,4,4,3
10129,3,0,46998,1,HR Coordinator,40,10,15,6
10075,4,1,68099,15,HR Analyst,0,0,0,0
10167,1,0,70545,9,HR Specialist,2,1,2,1
10195,2,1,63478,16,Talent Acquisition Specialist,15,11,5,11
10112,3,0,97999,4,HR Coordinator,3,2,1,2
10272,4,1,180000,19,HR Analyst,2,2,2,1
10182,1,0,49920,6,HR Specialist,2,2,2,2
10248,2,1,55425,4,Talent Acquisition Specialist,9,7,0,7
10201,3,0,69340,4,HR Coordinator,8,7,5,7
10214,4,1,64995,6,HR Analyst,3,2,0,1
10160,1,0,68182,18,HR Specialist,4,2,0,3
10289,2,1,83082,4,Talent Acquisition Specialist,15,11,5,9
10139,3,0,51908,14,HR Coordinator,2,2,2,2
10227,4,1,61242,7,HR Analyst,11,9,4,7
10236,1,0,45069,7,HR Specialist,5,4,0,4
10009,2,1,60724,11,Talent Acquisition Specialist,6,5,0,3
10060,3,0,60436,9,HR Coordinator,3,2,2,2
10034,4,1,46837,9,HR Analyst,5,4,0,4
10156,1,0,105700,2,HR Specialist,8,7,0,7
10036,2,1,63322,1,Talent Acquisition Specialist,3,2,2,2
10138,3,0,61154,4,HR Coordinator,5,3,1,2
10244,4,1,68999,2,HR Analyst,7,6,7,7
10192,1,0,50482,10,HR Specialist,5,0,1,4
10231,2,1,65310,13,Talent Acquisition Specialist,1,0,0,0
10089,3,0,250000,10,HR Coordinator,20,7,2,13
10166,4,1,54005,16,HR Analyst,10,8,0,6
10170,1,0,45433,6,HR Specialist,7,7,4,5
10208,2,1,46654,3,Talent Acquisition Specialist,17,9,0,15
10176,3,0,63973,17,HR Coordinator,9,8,3,7
10165,4,1,71339,20,HR Analyst,10,7,0,9
10113,1,0,93206,7,HR Specialist,1,0,0,0
10092,2,1,82758,9,Talent Acquisition Specialist,1,0,0,0
10106,3,0,66074,20,HR Coordinator,12,11,2,11
10052,4,1,46120,13,HR Analyst,4,3,1,2
10038,1,0,64520,3,HR Specialist,2,2,2,2
10249,2,1,61962,20,Talent Acquisition Specialist,2,2,2,2
10232,3,0,81584,2,HR Coordinator,5,2,0,2
10087,4,1,63676,17,HR Analyst,5,3,1,4
10134,1,0,93046,20,HR Specialist,1,1,0,1
10251,2,1,64738,10,Talent Acquisition Specialist,5,4,4,4
10103,3,0,70468,16,HR Coordinator,9,8,1,8
10017,4,1,77915,11,HR Analyst,10,9,7,4
10186,1,0,52624,16,HR Specialist,8,3,0,7
10137,2,1,63450,7,Talent Acquisition Specialist,5,4,1,4
10008,3,0,51777,14,HR Coordinator,5,2,1,1
10096,4,1,67237,15,HR Analyst,0,0,0,0
10035,1,0,73330,19,HR Specialist,8,7,7,2
10057,2,1,52057,6,Talent Acquisition Specialist,12,9,6,10
10004,3,0,47434,17,HR Coordinator,5,4,0,3
10191,4,1,52788,18,HR Analyst,2,2,2,2
10219,1,0,45395,14,HR Specialist,3,1,0,2
10077,2,1,62385,4,Talent Acquisition Specialist,1,0,1,0
10073,3,0,68407,16,HR Coordinator,24,13,15,7
10279,4,1,61349,11,HR Analyst,2,2,2,1
10110,1,0,105688,14,HR Specialist,4,2,0,2
10053,2,1,54132,8,Talent Acquisition Specialist,3,2,1,2
10076,3,0,55315,16,HR Coordinator,4,3,0,2
10145,4,1,62810,20,HR Analyst,3,2,0,2
10202,1,0,63291,7,HR Specialist,4,2,1,3
10128,2,1,62659,17,Talent Acquisition Specialist,8,7,1,6
10068,3,0,55688,10,HR Coordinator,20,8,9,9
10116,4,1,83667,2,HR Analyst,24,15,2,15
10298,1,0,55800,6,HR Specialist,10,9,1,9
10213,2,1,58207,14,Talent Acquisition Specialist,7,7,1,0
10288,3,0,157000,13,HR Coordinator,33,18,11,9
10025,4,1,72460,1,HR Analyst,7,7,0,3
10223,1,0,72106,12,HR Specialist,1,0,0,1
10151,2,1,52599,6,Talent Acquisition Specialist,5,4,2,2
10254,3,0,63430,18,HR Coordinator,20,8,11,8
10120,4,1,74417,11,HR Analyst,8,7,1,7
10216,1,0,57575,13,HR Specialist,6,2,1,2
10079,2,1,87921,17,Talent Acquisition Specialist,5,3,0,2
10215,3,0,50470,19,HR Coordinator,1,0,0,0
10185,4,1,46664,10,HR Analyst,7,7,1,7
10063,1,0,48495,11,HR Specialist,2,2,2,0
10037,2,1,52984,12,Talent Acquisition Specialist,7,7,1,7
10042,3,0,63695,2,HR Coordinator,5,3,2,0
10206,4,1,62061,4,HR Analyst,7,2,3,7
10104,1,0,66738,5,HR Specialist,1,0,0,0
10303,2,1,52674,3,Talent Acquisition Specialist,10,4,1,9
10078,3,0,71966,17,HR Coordinator,4,2,2,2
10121,4,1,63051,1,HR Analyst,8,1,1,7
10021,1,0,47414,13,HR Specialist,3,2,0,2
10281,2,1,53060,6,Talent Acquisition Specialist,4,2,0,3
10041,3,0,68829,18,HR Coordinator,14,8,9,8
10148,4,1,63515,7,HR Analyst,11,8,5,8
10005,1,0,108987,13,HR Specialist,7,7,0,7
10259,2,1,93093,19,Talent Acquisition Specialist,10,9,4,7
10286,3,0,53564,15,HR Coordinator,5,2,0,4
10297,4,1,60270,2,HR Analyst,1,0,0,0
10171,1,0,45998,5,HR Specialist,6,3,0,1
10032,2,1,57954,12,Talent Acquisition Specialist,6,2,1,5
10130,3,0,74669,6,HR Coordinator,19,7,12,8
10217,4,1,74226,14,HR Analyst,6,2,0,5
10016,1,0,93554,16,HR Specialist,13,11,3,7
10050,2,1,64724,13,Talent Acquisition Specialist,3,2,1,1
10164,3,0,47001,15,HR Coordinator,10,8,0,7
10124,4,1,61844,9,HR Analyst,16,10,5,13
10187,1,0,46799,14,HR Specialist,5,4,1,4
10225,2,1,59472,14,Talent Acquisition Specialist,1,0,0,0
10262,3,0,46430,16,HR Coordinator,9,8,5,8
10131,4,1,83363,4,HR Analyst,11,10,4,1
10239,1,0,95920,10,HR Specialist,10,7,0,8
10152,2,1,61729,19,Talent Acquisition Specialist,4,3,0,1
10140,3,0,61809,4,HR Coordinator,2,2,2,2
10058,4,1,45115,11,HR Analyst,22,17,11,15
10011,1,0,46738,16,HR Specialist,2,2,2,2
10230,2,1,64971,10,Talent Acquisition Specialist,7,0,0,6
10224,3,0,55578,13,HR Coordinator,5,4,0,4
10047,4,1,50428,11,HR Analyst,17,13,1,9
10285,1,0,61422,16,HR Specialist,9,7,1,7
10020,2,1,63353,4,Talent Acquisition Specialist,33,7,15,12
10162,3,0,89883,15,HR Coordinator,4,3,1,2
10149,4,1,120000,12,HR Analyst,3,2,1,2
10086,1,0,150290,17,HR Specialist,3,2,1,2
10054,2,1,60627,8,Talent Acquisition Specialist,3,2,2,2
10065,3,0,53180,4,HR Coordinator,1,0,0,0
10198,4,1,140920,13,HR Analyst,9,8,4,7
10222,1,0,148999,8,HR Specialist,24,0,1,7
10126,2,1,86214,2,Talent Acquisition Specialist,2,2,2,2
10295,3,0,47750,4,HR Coordinator,2,2,0,2
10260,4,1,46428,7,HR Analyst,11,9,5,9
10233,1,0,57975,13,HR Specialist,3,1,0,2
10229,2,1,88527,2,Talent Acquisition Specialist,3,2,0,2
10169,3,0,56147,2,HR Coordinator,1,0,0,0
10071,4,1,50923,14,HR Analyst,19,6,11,8
10179,1,0,50750,7,HR Specialist,6,5,1,5
10091,2,1,52087,15,Talent Acquisition Specialist,3,2,0,2
10178,3,0,87826,16,HR Coordinator,3,2,0,2
10039,4,1,51920,2,HR Analyst,4,2,1,2
10095,1,0,63878,20,HR Specialist,9,6,7,8
10027,2,1,60656,4,Talent Acquisition Specialist,21,7,3,9
10291,3,0,72992,16,HR Coordinator,1,0,0,0
10153,4,1,55000,17,HR Analyst,5,4,1,4
10157,1,0,58939,16,HR Specialist,5,1,0,3
10119,2,1,66593,19,Talent Acquisition Specialist,8,7,7,5
10180,3,0,87565,13,HR Coordinator,6,2,0,4
10302,4,1,64021,20,HR Analyst,7,7,7,7
10090,1,0,65714,15,HR Specialist,0,0,0,0
10030,2,1,62425,16,Talent Acquisition Specialist,0,0,0,0
10278,3,0,47961,9,HR Coordinator,9,0,7,8
10307,4,1,58273,5,HR Analyst,6,3,1,5
10147,1,0,63003,9,HR Specialist,20,7,4,10
10266,2,1,61355,4,Talent Acquisition Specialist,15,13,10,11
10241,3,0,60120,18,HR Coordinator,36,10,4,13
10158,4,1,63682,12,HR Analyst,10,7,9,9
10117,1,0,63025,10,HR Specialist,5,2,0,4
10209,2,1,59238,13,Talent Acquisition Specialist,5,4,0,1
10024,3,0,92989,1,HR Coordinator,3,2,1,0
10173,4,1,90100,14,HR Analyst,5,2,0,2
10221,1,0,60754,11,HR Specialist,7,7,6,2
10146,2,1,72202,3,Talent Acquisition Specialist,8,0,7,7
10161,3,0,58370,18,HR Coordinator,6,5,1,4
10141,4,1,48413,1,HR Analyst,10,4,1,6
10268,1,0,67176,15,HR Specialist,5,3,1,3
10123,2,1,56339,4,Talent Acquisition Specialist,20,16,11,6
10013,3,0,64397,6,HR Coordinator,10,7,0,9
10287,4,1,63025,18,HR Analyst,10,7,0,8
10044,1,0,75281,11,HR Specialist,5,3,3,3
10102,2,1,100416,9,Talent Acquisition Specialist,17,12,5,7
10270,3,0,74813,5,HR Coordinator,1,0,0,0
10045,4,1,76029,8,HR Analyst,2,2,1,2
10205,1,0,57859,16,HR Specialist,3,2,0,2
10014,2,1,58523,15,Talent Acquisition Specialist,5,3,0,2
10144,3,0,88976,19,HR Coordinator,3,2,1,2
10253,4,1,55875,11,HR Analyst,8,0,7,7
10118,1,0,113999,9,HR Specialist,2,2,2,2
10022,2,1,49773,18,Talent Acquisition Specialist,8,7,7,4
10183,3,0,62068,7,HR Coordinator,4,2,1,2
10190,4,1,66541,4,HR Analyst,20,4,4,8
10274,1,0,80512,5,HR Specialist,0,0,0,0
10293,2,1,50274,13,Talent Acquisition Specialist,11,9,6,9
10172,3,0,84903,17,HR Coordinator,1,0,0,0
10127,4,1,107226,7,HR Analyst,4,1,1,2
10072,1,0,58371,11,HR Specialist,22,10,0,4
10048,2,1,55140,7,Talent Acquisition Specialist,0,0,0,0
10204,3,0,58062,9,HR Coordinator,8,3,0,7
10264,4,1,59728,16,HR Analyst,8,7,7,7
10033,1,0,70507,7,HR Specialist,18,10,3,7
10174,2,1,60446,14,Talent Acquisition Specialist,9,8,0,8
10135,3,0,65893,13,HR Coordinator,13,8,4,8
10301,4,1,48513,4,HR Analyst,10,8,0,1
10010,1,0,220450,16,HR Specialist,5,3,1,2
10043,2,1,89292,11,Talent Acquisition Specialist,5,2,0,3
10271,3,0,45046,2,HR Coordinator,2,2,1,0
,,,,,HR Analyst,24,9,9,11
,,,,,HR Specialist,2,2,2,2
,,,,,Talent Acquisition Specialist,10,6,8,8
,,,,,HR Coordinator,21,9,11,10
