EmpID,Salary,EmpSatisfaction
10026,62506,5
10084,104437,3
10196,64955,3
10088,64991,5
10069,50825,4
10002,57568,5
10194,95660,3
10062,59365,4
10114,47837,3
10250,50178,5
10252,54670,4
10242,47211,3
10012,92328,4
10265,58709,4
10066,52505,5
10061,57834,4
10023,70131,3
10055,59026,5
10245,110000,4
10277,53250,4
10046,51044,3
10226,64919,3
10003,62910,3
10294,66441,3
10267,57815,5
10199,103613,5
10081,106367,4
10175,74312,3
10177,53492,4
10238,63000,2
10184,65288,3
10203,64375,5
10188,74326,5
10107,63763,4
10181,62162,5
10150,77692,3
10001,72640,3
10085,93396,4
10115,52846,3
10082,100031,5
10040,71860,5
10067,61656,4
10108,110929,5
10210,54237,4
10154,60380,5
10200,66808,5
10240,64786,4
10168,64816,5
10220,68678,3
10275,64066,5
10269,59369,4
10029,50373,4
10261,63108,5
10292,59144,3
10282,68051,2
10019,170500,5
10094,63381,5
10193,83552,3
10132,56149,5
10083,92329,3
10099,65729,4
10212,85028,5
10056,57583,3
10143,56294,4
10311,56991,4
10070,55722,4
10155,101199,5
10306,61568,3
10100,58275,5
10310,53189,2
10197,96820,5
10276,51259,4
10304,59231,1
10284,61584,4
10207,46335,5
10133,70621,4
10028,138888,5
10006,74241,5
10105,75188,4
10211,62514,3
10064,60070,3
10247,48888,5
10235,54285,3
10299,56847,1
10280,60340,4
10296,59124,3
10290,99280,5
10263,71776,5
10136,65902,4
10189,57748,3
10308,64057,5
10309,53366,3
10049,58530,5
10093,72609,5
10163,55965,3
10305,70187,5
10015,178000,5
10080,99351,3
10258,67251,3
10273,65707,4
10111,52249,3
10257,53171,4
10159,51337,3
10122,51505,4
10142,59370,4
10283,54933,4
10018,57815,4
10255,61555,5
10246,114800,4
10228,74679,5
10243,53018,5
10031,59892,4
10300,68898,3
10101,61242,4
10237,66825,3
10051,48285,3
10218,66149,5
10256,49256,5
10098,62957,3
10059,63813,5
10234,99020,5
10109,71707,5
10125,54828,4
10074,64246,3
10097,52177,4
10007,62065,4
10129,46998,4
10075,68099,3
10167,70545,5
10195,63478,5
10112,97999,5
10272,180000,4
10182,49920,3
10248,55425,4
10201,69340,5
10214,64995,3
10160,68182,3
10289,83082,2
10139,51908,3
10227,61242,3
10236,45069,5
10009,60724,4
10060,60436,5
10034,46837,4
10156,105700,3
10036,63322,3
10138,61154,4
10244,68999,5
10192,50482,4
10231,65310,5
10089,250000,3
10166,54005,5
10170,45433,4
10208,46654,3
10176,63973,3
10165,71339,5
10113,93206,5
10092,82758,4
10106,66074,3
10052,46120,5
10038,64520,4
10249,61962,3
10232,81584,5
10087,63676,3
10134,93046,4
10251,64738,3
10103,70468,3
10017,77915,3
10186,52624,4
10137,63450,3
10008,51777,4
10096,67237,4
10035,73330,4
10057,52057,3
10004,47434,4
10191,52788,4
10219,45395,4
10077,62385,3
10073,68407,4
10279,61349,3
10110,105688,5
10053,54132,4
10076,55315,5
10145,62810,3
10202,63291,4
10128,62659,4
10068,55688,4
10116,83667,3
10298,55800,2
10213,58207,3
10288,157000,3
10025,72460,3
10223,72106,4
10151,52599,3
10254,63430,4
10120,74417,5
10216,57575,4
10079,87921,3
10215,50470,3
10185,46664,3
10063,48495,5
10037,52984,3
10042,63695,5
10206,62061,5
10104,66738,5
10303,52674,2
10078,71966,3
10121,63051,3
10021,47414,3
10281,53060,3
10041,68829,5
10148,63515,4
10005,108987,5
10259,93093,4
10286,53564,5
10297,60270,5
10171,45998,4
10032,57954,5
10130,74669,5
10217,74226,3
10016,93554,5
10050,64724,3
10164,47001,3
10124,61844,5
10187,46799,4
10225,59472,3
10262,46430,5
10131,83363,4
10239,95920,4
10152,61729,5
10140,61809,3
10058,45115,4
10011,46738,5
10230,64971,4
10224,55578,5
10047,50428,3
10285,61422,3
10020,63353,5
10162,89883,5
10149,120000,3
10086,150290,3
10054,60627,4
10065,53180,5
10198,140920,5
10222,148999,4
10126,86214,3
10295,47750,4
10260,46428,5
10233,57975,3
10229,88527,3
10169,56147,3
10071,50923,5
10179,50750,3
10091,52087,4
10178,87826,3
10039,51920,3
10095,63878,4
10027,60656,3
10291,72992,4
10153,55000,4
10157,58939,3
10119,66593,3
10180,87565,4
10302,64021,2
10090,65714,5
10030,62425,4
10278,47961,4
10307,58273,2
10147,63003,5
10266,61355,3
10241,60120,4
10158,63682,4
10117,63025,5
10209,59238,5
10024,92989,5
10173,90100,3
10221,60754,5
10146,72202,3
10161,58370,3
10141,48413,4
10268,67176,4
10123,56339,5
10013,64397,3
10287,63025,5
10044,75281,3
10102,100416,3
10270,74813,3
10045,76029,4
10205,57859,3
10014,58523,5
10144,88976,3
10253,55875,4
10118,113999,3
10022,49773,5
10183,62068,3
10190,66541,5
10274,80512,3
10293,50274,3
10172,84903,4
10127,107226,4
10072,58371,5
10048,55140,3
10204,58062,5
10264,59728,4
10033,70507,3
10174,60446,4
10135,65893,4
10301,48513,2
10010,220450,5
10043,89292,3
10271,45046,5
